participant_id,date,hour,weekday,weekday_num,steps,calories,total_intensity,average_intensity
1503960366,2016-04-12,0,Tuesday,1,373,81,20,0.333333
1503960366,2016-04-12,1,Tuesday,1,160,61,8,0.133333
1503960366,2016-04-12,2,Tuesday,1,151,59,7,0.116667
1503960366,2016-04-12,3,Tuesday,1,0,47,0,0.0
1503960366,2016-04-12,4,Tuesday,1,0,48,0,0.0
1503960366,2016-04-12,5,Tuesday,1,0,48,0,0.0
1503960366,2016-04-12,6,Tuesday,1,0,48,0,0.0
1503960366,2016-04-12,7,Tuesday,1,0,47,0,0.0
1503960366,2016-04-12,8,Tuesday,1,250,68,13,0.216667
1503960366,2016-04-12,9,Tuesday,1,1864,141,30,0.5
1503960366,2016-04-12,10,Tuesday,1,676,99,29,0.483333
1503960366,2016-04-12,11,Tuesday,1,360,76,12,0.2
1503960366,2016-04-12,12,Tuesday,1,253,73,11,0.183333
1503960366,2016-04-12,13,Tuesday,1,221,66,6,0.1
1503960366,2016-04-12,14,Tuesday,1,1166,110,36,0.6
1503960366,2016-04-12,15,Tuesday,1,2063,151,58,0.966667
1503960366,2016-04-12,16,Tuesday,1,344,76,13,0.216667
1503960366,2016-04-12,17,Tuesday,1,489,83,16,0.266667
1503960366,2016-04-12,18,Tuesday,1,1386,124,29,0.483333
1503960366,2016-04-12,19,Tuesday,1,558,104,39,0.65
1503960366,2016-04-12,20,Tuesday,1,1733,132,41,0.683333
1503960366,2016-04-12,21,Tuesday,1,684,100,31,0.516667
1503960366,2016-04-12,22,Tuesday,1,89,65,9,0.15
1503960366,2016-04-12,23,Tuesday,1,338,81,21,0.35
1503960366,2016-04-13,0,Wednesday,2,144,69,14,0.233333
1503960366,2016-04-13,1,Wednesday,2,0,48,0,0.0
1503960366,2016-04-13,2,Wednesday,2,0,47,0,0.0
1503960366,2016-04-13,3,Wednesday,2,36,53,4,0.066667
1503960366,2016-04-13,4,Wednesday,2,0,47,0,0.0
1503960366,2016-04-13,5,Wednesday,2,0,47,0,0.0
1503960366,2016-04-13,6,Wednesday,2,0,48,0,0.0
1503960366,2016-04-13,7,Wednesday,2,126,59,8,0.133333
1503960366,2016-04-13,8,Wednesday,2,275,69,12,0.2
1503960366,2016-04-13,9,Wednesday,2,1679,136,27,0.45
1503960366,2016-04-13,10,Wednesday,2,295,77,15,0.25
1503960366,2016-04-13,11,Wednesday,2,524,84,16,0.266667
1503960366,2016-04-13,12,Wednesday,2,486,82,15,0.25
1503960366,2016-04-13,13,Wednesday,2,302,72,10,0.166667
1503960366,2016-04-13,14,Wednesday,2,1577,128,46,0.766667
1503960366,2016-04-13,15,Wednesday,2,493,79,13,0.216667
1503960366,2016-04-13,16,Wednesday,2,299,71,10,0.166667
1503960366,2016-04-13,17,Wednesday,2,695,87,23,0.383333
1503960366,2016-04-13,18,Wednesday,2,1343,118,25,0.416667
1503960366,2016-04-13,19,Wednesday,2,258,73,13,0.216667
